GeneID:735223	XB-GENE-478088	tbx1.L	T-box 1 L homeolog
NA	XB-GENE-17342908	ptx.L	pentraxin L homeolog
GeneID:398360	XB-GENE-17342909	plcg1.S	phospholipase C gamma 1 S homeolog
GeneID:108703559	XB-GENE-17342910	dlg4.S	discs, large homolog 4 S homeolog
NA	XB-GENE-17342911	phox2a.L	paired like homeobox 2A L homeolog
NA	XB-GENE-17342912	cercam.S	cerebral endothelial cell adhesion molecule S homeolog
GeneID:108715767	XB-GENE-17342913	cbx7.S	chromobox 7 S homeolog
NA	XB-GENE-17342914	lama3.S	laminin subunit alpha 3 S homeolog
NA	XB-GENE-17342915	dsg1.S	desmoglein 1 S homeolog
NA	XB-GENE-17342916	akap14.L	A-kinase anchoring protein 14 L homeolog
NA	XB-GENE-17342917	hspa8.S	heat shock protein family A (Hsp70) member 8 S homeolog
NA	XB-GENE-17342918	mia2.S	MIA SH3 domain ER export factor 2 S homeolog
GeneID:108704932	XB-GENE-17342919	robo4.S	roundabout guidance receptor 4 S homeolog
GeneID:108717467	XB-GENE-17342920	sgpp2.S	sphingosine-1-phosphate phosphatase 2 S homeolog
NA	XB-GENE-17342921	clul1.S	clusterin like 1 S homeolog
NA	XB-GENE-17342922	ovch2.L	ovochymase 2 L homeolog
GeneID:108699412	XB-GENE-17342923	dclk2.L	doublecortin like kinase 2 L homeolog
GeneID:108703475	XB-GENE-17342924	slc44a2.S	solute carrier family 44 (choline transporter), member 2 S homeolog
GeneID:108709272	XB-GENE-17342925	ildr2.S	immunoglobulin-like domain containing receptor 2 S homeolog
NA	XB-GENE-17342926	myo15b.L	myosin XVB L homeolog
GeneID:108700483	XB-GENE-17342927	itpk1.S	inositol-tetrakisphosphate 1-kinase S homeolog
NA	XB-GENE-17342928	or7c2.L	olfactory receptor family 7 subfamily C member 2 L homeolog
NA	XB-GENE-17342929	or7c2.S	olfactory receptor family 7 subfamily C member 2 S homeolog
GeneID:373676	XB-GENE-17342930	hbp1.S	HMG-box transcription factor 1 S homeolog
NA	XB-GENE-17342931	col9a1.S	collagen, type IX, alpha 1 S homeolog
NA	XB-GENE-17342932	ercc5.S	excision repair cross-complementation group 5 S homeolog
GeneID:443642	XB-GENE-17342933	cald1.S	caldesmon 1 S homeolog
GeneID:108708558	XB-GENE-17342934	kcnh3.L	potassium channel, voltage gated eag related subfamily H, member 3 L homeolog
NA	XB-GENE-17342935	kcnh3.S	potassium channel, voltage gated eag related subfamily H, member 3 S homeolog
NA	XB-GENE-17342936	slc47a2.L	solute carrier family 47 (multidrug and toxin extrusion), member 2 L homeolog
GeneID:108699857	XB-GENE-17342937	slc47a2.S	solute carrier family 47 (multidrug and toxin extrusion), member 2 S homeolog
NA	XB-GENE-17342938	abcg5.L	ATP binding cassette subfamily G member 5 L homeolog
NA	XB-GENE-17342939	nubpl.S	nucleotide binding protein-like S homeolog
GeneID:108697483	XB-GENE-17342940	mcu.S	mitochondrial calcium uniporter S homeolog
GeneID:108715766	XB-GENE-17342941	rpl3.S	ribosomal protein L3 S homeolog
NA	XB-GENE-17342942	clca1.1.S	chloride channel accessory 1 gene 1 S homeolog
NA	XB-GENE-17342943	aatf.L	apoptosis antagonizing transcription factor L homeolog
NA	XB-GENE-17342944	vps8.S	VPS8, CORVET complex subunit S homeolog
GeneID:108701247	XB-GENE-17342945	snx4.L	sorting nexin 4 L homeolog
NA	XB-GENE-17342946	drc7.S	dynein regulatory complex subunit 7 S homeolog
GeneID:108704967	XB-GENE-17342947	cadm4.S	cell adhesion molecule 4 S homeolog
GeneID:108713287	XB-GENE-17342948	myot.S	myotilin S homeolog
NA	XB-GENE-17342949	hectd3.S	HECT domain containing E3 ubiquitin protein ligase 3 S homeolog
GeneID:108715520	XB-GENE-17342950	slc35d1.S	solute carrier family 35 member D1 S homeolog
GeneID:108709231	XB-GENE-17342951	tmem50b.S	transmembrane protein 50B S homeolog
GeneID:108704086	XB-GENE-17342952	uba2.S	ubiquitin like modifier activating enzyme 2 S homeolog
NA	XB-GENE-17342953	rpp30.S	ribonuclease P/MRP 30kDa subunit S homeolog
GeneID:108695820	XB-GENE-17342954	panx3.L	pannexin 3 L homeolog
GeneID:108697231	XB-GENE-17342955	panx3.S	pannexin 3 S homeolog
NA	XB-GENE-17342956	dck.2.S	deoxycytidine kinase, gene 2 S homeolog
GeneID:108696216	XB-GENE-17342957	tm9sf3.L	transmembrane 9 superfamily member 3 L homeolog
NA	XB-GENE-17342958	naaladl1.S	N-acetylated alpha-linked acidic dipeptidase-like 1 S homeolog
GeneID:108696247	XB-GENE-17342959	elovl3.L	ELOVL fatty acid elongase 3 L homeolog
NA	XB-GENE-17342960	elovl3.S	ELOVL fatty acid elongase 3 S homeolog
NA	XB-GENE-17342961	tti1.S	TELO2 interacting protein 1 S homeolog
GeneID:108708700	XB-GENE-17342962	slc46a3.L	solute carrier family 46 member 3 L homeolog
GeneID:108709139	XB-GENE-17342963	slc46a3.S	solute carrier family 46 member 3 S homeolog
NA	XB-GENE-17342964	mocs3.S	molybdenum cofactor synthesis 3 S homeolog
GeneID:108696258	XB-GENE-17342965	avp.L	arginine vasopressin L homeolog
GeneID:108705783	XB-GENE-17342966	avp.S	arginine vasopressin S homeolog
NA	XB-GENE-17342967	fkbp15.S	FKBP prolyl isomerase family member 15 S homeolog
NA	XB-GENE-17342968	fgl1a.S	fibrinogen like 1A S homeolog
GeneID:108707414	XB-GENE-17342969	b3galt5l.L	beta-1,3-galactosyltransferase 5-like L homeolog
NA	XB-GENE-17342970	b3galt5l.S	beta-1,3-galactosyltransferase 5-like S homeolog
GeneID:108707658	XB-GENE-17342971	b3galt5.2.L	beta-1,3-galactosyltransferase 5 gene 2 L homeolog
GeneID:108709081	XB-GENE-17342972	b3galt5.2.S	beta-1,3-galactosyltransferase 5 gene 2 S homeolog
GeneID:108712752	XB-GENE-17342973	sema4c.S	semaphorin 4C S homeolog
NA	XB-GENE-17342974	tatdn1.S	TatD DNase domain containing 1 S homeolog
NA	XB-GENE-17342975	b3galt5.5.L	Beta-1,3-galactosyltransferase 5 gene 5 L homeolog
NA	XB-GENE-17342976	b3galt5.4.S	beta-1,3-galactosyltransferase 5 gene 4 S homeolog
NA	XB-GENE-17342977	vps45.L	vacuolar protein sorting 45 homolog L homeolog
GeneID:397747	XB-GENE-17342978	furin.S	furin, paired basic amino acid cleaving enzyme S homeolog
GeneID:108715680	XB-GENE-17342979	nos1ap.S	nitric oxide synthase 1 adaptor protein S homeolog
NA	XB-GENE-17342980	igkv3-20.S	immunoglobulin kappa variable 3-20 S homeolog
NA	XB-GENE-17342981	XB1014132.S [provisional:ift22]	provisional ortholog of intraflagellar transport 22 S homeolog
GeneID:108714286	XB-GENE-17342982	lrrc41.L	leucine rich repeat containing 41 L homeolog
NA	XB-GENE-17342983	XB5920029.S [provisional]	uncharacterized XB5920029 S homeolog
GeneID:108706738	XB-GENE-17342984	mttp.S	microsomal triglyceride transfer protein, gene 1 S homeolog
NA	XB-GENE-17342985	ggact.S	gamma-glutamylamine cyclotransferase S homeolog
NA	XB-GENE-17342986	smarcal1.S	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a-like 1 S homeolog
NA	XB-GENE-17342987	cox16.S	cytochrome c oxidase assembly factor COX16 S homeolog
GeneID:108706737	XB-GENE-17342988	slc39a8.S	solute carrier family 39 (zinc transporter), member 8 S homeolog
GeneID:108715518	XB-GENE-17342989	gng12.S	guanine nucleotide binding protein (G protein), gamma 12 S homeolog
GeneID:108698478	XB-GENE-17342990	dock11.L	dedicator of cytokinesis 11 L homeolog
NA	XB-GENE-17342991	dock11.S	dedicator of cytokinesis 11 S homeolog
GeneID:108701170	XB-GENE-17342992	tbcd.L	tubulin folding cofactor D L homeolog
GeneID:108702845	XB-GENE-17342993	tbcd.S	tubulin folding cofactor D S homeolog
GeneID:108713966	XB-GENE-17342994	pygb.L	phosphorylase, glycogen; brain L homeolog
GeneID:108702010	XB-GENE-17342995	galr2.L	galanin receptor 2 L homeolog
GeneID:108702388	XB-GENE-17342996	galr2.S	galanin receptor 2 S homeolog
GeneID:108713145	XB-GENE-17342997	tbc1d15.S	TBC1 domain family member 15 S homeolog
GeneID:108701206	XB-GENE-17342998	cep112.L	centrosomal protein 112kDa L homeolog
NA	XB-GENE-17342999	camp1.S	cathelicidin antimicrobial peptide 1 S homeolog
NA	XB-GENE-17343000	timm10b.L	translocase of inner mitochondrial membrane 10 homolog B L homeolog
GeneID:108702844	XB-GENE-17343001	foxk2.S	forkhead box K2 S homeolog
NA	XB-GENE-17343002	XB5964270.L [provisional:fbxw7]	provisional ortholog of F-box and WD repeat domain containing 7 L homeolog
NA	XB-GENE-17343003	XB5964270.S [provisional:fbxw7]	provisional ortholog of F-box and WD repeat domain containing 7 S homeolog
GeneID:100036799	XB-GENE-17343004	cep41.L	centrosomal protein 41kDa L homeolog
GeneID:108711243	XB-GENE-17343005	strip2.L	striatin interacting protein 2 L homeolog
NA	XB-GENE-17343006	strip2.S	striatin interacting protein 2 S homeolog
GeneID:108715583	XB-GENE-17343007	dmbx1.S	diencephalon/mesencephalon homeobox 1 S homeolog
GeneID:108711076	XB-GENE-17343008	lemd3.L	LEM domain containing 3 L homeolog
GeneID:108715196	XB-GENE-17343009	pts.S	6-pyruvoyltetrahydropterin synthase S homeolog
GeneID:108715366	XB-GENE-17343010	zdhhc1.S	zinc finger  DHHC-type containing 1 S homeolog
GeneID:108707585	XB-GENE-17343011	grm5.L	glutamate receptor, metabotropic 5 L homeolog
GeneID:108710022	XB-GENE-17343012	grm5.S	glutamate receptor, metabotropic 5 S homeolog
GeneID:108716839	XB-GENE-17343013	armc2.L	armadillo repeat containing 2 L homeolog
NA	XB-GENE-17343014	armc2.S	armadillo repeat containing 2 S homeolog
GeneID:494837	XB-GENE-17343015	fam168a.L	family with sequence similarity 168 member A L homeolog
GeneID:108700605	XB-GENE-17343016	pear1.S	platelet endothelial aggregation receptor 1 S homeolog
NA	XB-GENE-17343017	rsph6a.S	radial spoke head 6 homolog A S homeolog
GeneID:108695374	XB-GENE-17343018	cpne3.S	copine III S homeolog
GeneID:108718484	XB-GENE-17343019	thsd7a.L	thrombospondin type 1 domain containing 7A L homeolog
GeneID:108719913	XB-GENE-17343020	thsd7a.S	thrombospondin type 1 domain containing 7A S homeolog
GeneID:108717129	XB-GENE-17343021	fbxo36.L	F-box protein 36 L homeolog
GeneID:108717766	XB-GENE-17343022	crnkl1.S	crooked neck pre-mRNA splicing factor 1 S homeolog
GeneID:108711318	XB-GENE-17343023	mpi.L	mannose phosphate isomerase L homeolog
NA	XB-GENE-17343024	pold2.S	polymerase (DNA directed), delta 2, accessory subunit S homeolog
NA	XB-GENE-17343025	btnl8.S	butyrophilin like 8 S homeolog
GeneID:108720130	XB-GENE-17343026	scgn.S	secretagogin, EF-hand calcium binding protein S homeolog
GeneID:108700174	XB-GENE-17343027	mbnl3.S	muscleblind-like splicing regulator 3 S homeolog
GeneID:398520	XB-GENE-17343028	germes.L	uncharacterized LOC779566 L homeolog
NA	XB-GENE-17343029	germes.S	uncharacterized LOC779566 S homeolog
NA	XB-GENE-17343030	alkbh8.L	alkB homolog 8, tRNA methyltransferase L homeolog
GeneID:108700567	XB-GENE-17343031	tapbp.S	TAP binding protein (tapasin) S homeolog
GeneID:108720094	XB-GENE-17343032	cdh20.S	cadherin 20 S homeolog
GeneID:108719981	XB-GENE-17343033	eaf1.S	ELL associated factor 1 S homeolog
NA	XB-GENE-17343034	niban2.L	niban apoptosis regulator 2 L homeolog
GeneID:108706877	XB-GENE-17343035	arhgef18.S	Rho/Rac guanine nucleotide exchange factor 18 S homeolog
GeneID:108696561	XB-GENE-17343036	acap3.L	rfGAP with coiled-coil, ankyrin repeat and PH domains 2 L homeolog
NA	XB-GENE-17343037	usp28.S	ubiquitin specific peptidase 28 S homeolog
NA	XB-GENE-17343038	muc2.L	mucin 2, oligomeric mucus/gel-forming L homeolog
NA	XB-GENE-17343039	muc2.S	mucin 2, oligomeric mucus/gel-forming S homeolog
NA	XB-GENE-17343040	mrs2.S	magnesium transporter MRS2 S homeolog
GeneID:108702919	XB-GENE-17343041	rab3gap1.S	RAB3 GTPase activating protein catalytic subunit 1 S homeolog
NA	XB-GENE-17343042	clu.S	clusterin S homeolog
NA	XB-GENE-17343043	med21.S	mediator complex subunit 21 S homeolog
GeneID:108707210	XB-GENE-17343044	fem1c.S	fem-1 homolog c S homeolog
GeneID:108697175	XB-GENE-17343045	tfam.S	transcription factor A, mitochondrial S homeolog
GeneID:108699879	XB-GENE-17343046	nsmf.S	NMDA receptor synaptonuclear signaling and neuronal migration factor S homeolog
NA	XB-GENE-17343047	agbl3.L	AGBL carboxypeptidase 3 L homeolog
NA	XB-GENE-17343048	amy2b.L	amylase, alpha 2B (pancreatic) L homeolog
NA	XB-GENE-17343049	ttll5.S	tubulin tyrosine ligase like 5 S homeolog
GeneID:108700768	XB-GENE-17343050	msl1.L	male-specific lethal 1 homolog L homeolog
GeneID:108700764	XB-GENE-17343051	gjd3.L	gap junction protein delta 3 L homeolog
GeneID:108702479	XB-GENE-17343052	gjd3.S	gap junction protein delta 3 S homeolog
GeneID:108715607	XB-GENE-17343053	magoh.S	mago homolog, exon junction complex subunit S homeolog
GeneID:108711398	XB-GENE-17343054	shc4.L	SHC (Src homology 2 domain containing) family member 4 L homeolog
GeneID:108712318	XB-GENE-17343055	shc4.S	SHC (Src homology 2 domain containing) family member 4 S homeolog
NA	XB-GENE-17343056	pgm2.L	phosphoglucomutase 2 L homeolog
NA	XB-GENE-17343057	pgm2.S	phosphoglucomutase 2 S homeolog
GeneID:380425	XB-GENE-17343058	ddx39a.L	DEAD-box helicase 39A L homeolog
GeneID:108713762	XB-GENE-17343059	elf5.L	E74 like ETS transcription factor 5 L homeolog
GeneID:108715067	XB-GENE-17343060	elf5.S	E74 like ETS transcription factor 5 S homeolog
NA	XB-GENE-17343061	eri2.S	ERI1 exoribonuclease family member 2 S homeolog
GeneID:108697640	XB-GENE-17343062	acap3.S	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 S homeolog
GeneID:108714096	XB-GENE-17343063	jph3.L	junctophilin 3 L homeolog
NA	XB-GENE-17343064	jph3.S	junctophilin 3 S homeolog
GeneID:108709844	XB-GENE-17343065	rbms2.S	RNA binding motif single stranded interacting protein 2 S homeolog
GeneID:108715133	XB-GENE-17343066	lpcat4.L	lysophosphatidylcholine acyltransferase 4 L homeolog
GeneID:108716360	XB-GENE-17343067	gpr87.L	G protein-coupled receptor 87 L homeolog
GeneID:108718129	XB-GENE-17343068	gpr87.S	G protein-coupled receptor 87 S homeolog
NA	XB-GENE-17343069	dap3.S	death associated protein 3 S homeolog
GeneID:108702637	XB-GENE-17343070	edn3.S	endothelin-3 S homeolog
NA	XB-GENE-17343071	dusp23.S	dual specificity phosphatase 23 S homeolog
GeneID:108705261	XB-GENE-17343072	ppp3cc.S	protein phosphatase 3, catalytic subunit, gamma isozyme S homeolog
GeneID:108714603	XB-GENE-17343073	dock3.L	dedicator of cytokinesis 3 L homeolog
GeneID:108715830	XB-GENE-17343074	dock3.S	dedicator of cytokinesis 3 S homeolog
GeneID:108697021	XB-GENE-17343075	uts2.L	urotensin 2 L homeolog
GeneID:101101702	XB-GENE-17343076	uts2.S	urotensin 2 S homeolog
NA	XB-GENE-17343077	morn5.L	MORN repeat containing 5 L homeolog
GeneID:108706833	XB-GENE-17343078	pigg.S	phosphatidylinositol glycan anchor biosynthesis class G S homeolog
NA	XB-GENE-17343079	klhl11.S	kelch like family member 11 S homeolog
GeneID:108707309	XB-GENE-17343080	lifr.S	LIF receptor subunit alpha S homeolog
GeneID:108711129	XB-GENE-17343081	dock4.L	dedicator of cytokinesis 4 L homeolog
NA	XB-GENE-17343082		
NA	XB-GENE-17343083	pold1.S	polymerase (DNA directed), delta 1, catalytic subunit S homeolog
GeneID:108701585	XB-GENE-17343084	ocm1.L	oncomodulin 2 L homeolog
GeneID:108703150	XB-GENE-17343085	ocm1.S	oncomodulin 2 S homeolog
GeneID:108706643	XB-GENE-17343086	rapgef2.S	Rap guanine nucleotide exchange factor 2 S homeolog
NA	XB-GENE-17343087	dydc1.S	DPY30 domain containing 1 S homeolog
GeneID:398447	XB-GENE-17343088	wdr43.S	WD repeat domain 43 S homeolog
NA	XB-GENE-17343089	mok.S	MOK protein kinase S homeolog
NA	XB-GENE-17343090	ccnc.S	cyclin C S homeolog
GeneID:108697639	XB-GENE-17343091	ube2j2.S	ubiquitin conjugating enzyme E2 J2 S homeolog
GeneID:108706671	XB-GENE-17343092	usp38.S	ubiquitin specific peptidase 38 S homeolog
GeneID:108713959	XB-GENE-17343093	cnih2.L	cornichon family AMPA receptor auxiliary protein 2 L homeolog
GeneID:108719386	XB-GENE-17343094	trps1.L	transcriptional repressor GATA binding 1 L homeolog
NA	XB-GENE-17343095	XB5885669.S [provisional]	putative methyltransferase DDB_G0268948 S homeolog
NA	XB-GENE-17343096	mon1a.S	MON1 homolog A, secretory trafficking associated S homeolog
GeneID:108710257	XB-GENE-17343097	myrfl.L	myelin regulatory factor like L homeolog
GeneID:108712368	XB-GENE-17343098	myrfl.S	myelin regulatory factor like S homeolog
NA	XB-GENE-17343099	klf8.S	KLF transcription factor 8 S homeolog
NA	XB-GENE-17343100	serhl2.L	serine hydrolase like 2 L homeolog
GeneID:108702907	XB-GENE-17343101	igfbp5.S	insulin like growth factor binding protein 5 S homeolog
GeneID:108715212	XB-GENE-17343102	arl14ep.S	ADP ribosylation factor like GTPase 14 effector protein S homeolog
GeneID:108709716	XB-GENE-17343103	upf3a.S	UPF3A, regulator of nonsense mediated mRNA decay S homeolog
NA	XB-GENE-17343104	blvrb.S	biliverdin reductase B S homeolog
GeneID:444607	XB-GENE-17343105	ccng2.L	cyclin G2 L homeolog
GeneID:380420	XB-GENE-17343106	rps10.S	ribosomal protein S10 S homeolog
GeneID:108709876	XB-GENE-17343107	csrnp2.S	cysteine-serine-rich nuclear protein 2 S homeolog
NA	XB-GENE-17343108	miga1.S	mitoguardin 1 S homeolog
NA	XB-GENE-17343109	slc27a3.S	solute carrier family 27 member 3 S homeolog
GeneID:108709349	XB-GENE-17343110	mnt.S	MAX network transcriptional repressor S homeolog
GeneID:108708277	XB-GENE-17343111	lypla2.L	lysophospholipase 2 L homeolog
GeneID:398461	XB-GENE-17343112	pdlim1.S	PDZ and LIM domain 1 S homeolog
NA	XB-GENE-17343113	kcne3.L	potassium channel, voltage gated subfamily E regulatory beta subunit 3 L homeolog
GeneID:779117	XB-GENE-17343114	ephb3.S	EPH receptor B3 S homeolog
GeneID:380101	XB-GENE-17343115	tcf3.S	transcription factor 3 S homeolog
GeneID:108701072	XB-GENE-17343116	slc25a19.L	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19 L homeolog
NA	XB-GENE-17343117	slc25a19.S	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19 S homeolog
GeneID:108701504	XB-GENE-17343118	atp5mf.L	ATP synthase membrane subunit f L homeolog
GeneID:108699434	XB-GENE-17343119	tagln2.L	transgelin 2 L homeolog
GeneID:108711249	XB-GENE-17343120	tnpo3.L	transportin 3 L homeolog
GeneID:108713096	XB-GENE-17343121	safb.L	scaffold attachment factor B L homeolog
GeneID:399300	XB-GENE-17343122	arf6.2.S	ADP ribosylation factor 6 S homeolog
GeneID:108698546	XB-GENE-17343123	lonrf1.L	LON peptidase N-terminal domain and ring finger 1 L homeolog
NA	XB-GENE-17343124	srd5a1.L	steroid-5-alpha-reductase, alpha polypeptide 1 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 1) L homeolog
NA	XB-GENE-17343125	abcc12.S	ATP binding cassette subfamily C member 12 S homeolog
GeneID:108710732	XB-GENE-17343126	kdm7a.L	lysine (K)-specific demethylase 7A L homeolog
GeneID:108706989	XB-GENE-17343127	agtpbp1.S	ATP/GTP binding carboxypeptidase 1 S homeolog
GeneID:108696237	XB-GENE-17343128	pald1.L	phosphatase domain containing paladin 1 L homeolog
NA	XB-GENE-17343129	tut1.S	terminal uridylyl transferase 1, U6 snRNA-specific S homeolog
NA	XB-GENE-17343130	pomk.S	protein-O-mannose kinase S homeolog
GeneID:379480	XB-GENE-17343131	necap1.L	NECAP endocytosis associated 1 L homeolog
GeneID:108711283	XB-GENE-17343132	idh3a.L	isocitrate dehydrogenase (NAD(+)) 3 alpha L homeolog
GeneID:108698197	XB-GENE-17343133	vav2.L	vav guanine nucleotide exchange factor 2 L homeolog
NA	XB-GENE-17343134	hgsnat.S	heparan-alpha-glucosaminide N-acetyltransferase S homeolog
GeneID:108714306	XB-GENE-17343135	agbl4.L	AGBL carboxypeptidase 4 L homeolog
GeneID:121393311	XB-GENE-17343136	agbl4.S	AGBL carboxypeptidase 4 S homeolog
NA	XB-GENE-17343137	cyp2c8l.S	cytochrome P450 family 2 subfamily C member 8 like S homeolog
GeneID:108695415	XB-GENE-17343138	dcaf13.S	DDB1 and CUL4 associated factor 13 S homeolog
GeneID:108702622	XB-GENE-17343139	hrh3.S	histamine receptor H3 S homeolog
GeneID:108712578	XB-GENE-17343140	iqsec3.S	IQ motif and Sec7 domain 3 S homeolog
NA	XB-GENE-17343141	sirt3.2.S	sirtuin (silent mating type information regulation 2 homolog) 3, gene 2 S homeolog
NA	XB-GENE-17343142	tmco3.S	transmembrane and coiled-coil domains 3 S homeolog
NA	XB-GENE-17343143	mlh1.L	mutL homolog 1 L homeolog
GeneID:108708206	XB-GENE-17343144	ccdc181.L	coiled-coil domain containing 181 L homeolog
NA	XB-GENE-17343145	ccdc181.S	coiled-coil domain containing 181 S homeolog
GeneID:108703742	XB-GENE-17343146	sez6l2.L	seizure related 6 homolog like 2 L homeolog
NA	XB-GENE-17343147	nsun6.S	NOP2/Sun RNA methyltransferase 6 S homeolog
GeneID:108714338	XB-GENE-17343148	ttc22.L	tetratricopeptide repeat domain 22 L homeolog
GeneID:108703054	XB-GENE-17343149	plcl1.S	phospholipase C like 1 (inactive) S homeolog
GeneID:108697767	XB-GENE-17343150	tmem145.S	transmembrane protein 145 S homeolog
GeneID:379338	XB-GENE-17343151	racgap1.S	Rac GTPase activating protein 1 S homeolog
GeneID:399262	XB-GENE-17343152	gnat1.L	guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1 L homeolog
GeneID:444730	XB-GENE-17343153	cfap45.L	cilia and flagella associated protein 45 L homeolog
GeneID:108706917	XB-GENE-17343154	med26.S	mediator complex subunit 26 S homeolog
GeneID:108700285	XB-GENE-17343155	tspan15.S	tetraspanin 15 S homeolog
GeneID:108698085	XB-GENE-17343156	gripap1.L	GRIP1 associated protein 1 L homeolog
GeneID:108699701	XB-GENE-17343157	gripap1.S	GRIP1 associated protein 1 S homeolog
GeneID:446605	XB-GENE-17343158	pstpip2.S	proline-serine-threonine phosphatase interacting protein 2 S homeolog
GeneID:379870	XB-GENE-17343159	rgs19.L	regulator of G-protein signaling 19 L homeolog
GeneID:108716483	XB-GENE-17343160	cnih3.L	cornichon family AMPA receptor auxiliary protein 3 L homeolog
GeneID:108717693	XB-GENE-17343161	cnih3.S	cornichon family AMPA receptor auxiliary protein 3 S homeolog
GeneID:121399054	XB-GENE-17343162	grb14.S	growth factor receptor bound protein 14 S homeolog
GeneID:496339	XB-GENE-17343163	f2rl1.S	coagulation factor 2 (thrombin) receptor-like 1 S homeolog
GeneID:108719810	XB-GENE-17343164	selenon.S	selenoprotein N S homeolog
GeneID:108713536	XB-GENE-17343165	eps15l1.L	epidermal growth factor receptor pathway substrate 15-like 1 L homeolog
NA	XB-GENE-17343166	nars2.L	asparaginyl-tRNA synthetase 2, mitochondrial L homeolog
GeneID:108707105	XB-GENE-17343167	sppl3.S	signal peptide peptidase like 3 S homeolog
GeneID:108715845	XB-GENE-17343168	il5ra.S	interleukin 5 receptor subunit alpha S homeolog
NA	XB-GENE-17343169	aamdc.S	adipogenesis associated, Mth938 domain containing S homeolog
NA	XB-GENE-17343170	emsy.L	EMSY, BRCA2-interacting transcriptional repressor L homeolog
GeneID:108710040	XB-GENE-17343171	emsy.S	EMSY, BRCA2-interacting transcriptional repressor S homeolog
GeneID:108709583	XB-GENE-17343172	col16a1.S	collagen, type XVI, alpha 1 S homeolog
NA	XB-GENE-17343173	trmt1l.L	tRNA methyltransferase 1 like L homeolog
NA	XB-GENE-17343174	cd3g.L	CD3g molecule L homeolog
NA	XB-GENE-17343175	or5b12.L	olfactory receptor family 5 subfamily B member 12 L homeolog
NA	XB-GENE-17343176	or5b12.S	olfactory receptor family 5 subfamily B member 12 S homeolog
GeneID:108718279	XB-GENE-17343177	rcan2.S	regulator of calcineurin 2 S homeolog
NA	XB-GENE-17343178	or1c1.L	olfactory receptor family 1 subfamily C member 1 L homeolog
NA	XB-GENE-17343179	or1c1.S	olfactory receptor family 1 subfamily C member 1 S homeolog
NA	XB-GENE-17343180	aip.S	aryl hydrocarbon receptor interacting protein S homeolog
GeneID:108704814	XB-GENE-17343181	chmp1a.L	charged multivesicular body protein 1A L homeolog
GeneID:108696864	XB-GENE-17343182	fam43b.L	family with sequence similarity 43 member B L homeolog
NA	XB-GENE-17343183	fam43b.S	family with sequence similarity 43 member B S homeolog
GeneID:108717462	XB-GENE-17343184	pfn2.S	profilin 2 S homeolog
NA	XB-GENE-17343185	mocs2.S	molybdenum cofactor synthesis 2 S homeolog
GeneID:108706907	XB-GENE-17343186	tmem59l.S	transmembrane protein 59 like S homeolog
GeneID:444845	XB-GENE-17343187	eif4a1.S	eukaryotic translation initiation factor 4A1 S homeolog
NA	XB-GENE-17343188	miip.S	migration and invasion inhibitory protein S homeolog
NA	XB-GENE-17343189	otulinl.L	OTU deubiquitinase with linear linkage specificity like L homeolog
GeneID:108720039	XB-GENE-17343190	otulinl.S	OTU deubiquitinase with linear linkage specificity like S homeolog
GeneID:734217	XB-GENE-17343191	aldh6a1.S	aldehyde dehydrogenase 6 family member A1 S homeolog
NA	XB-GENE-17343192	gpr161.L	G protein-coupled receptor 161 L homeolog
NA	XB-GENE-17343193	gpr161.S	G protein-coupled receptor 161 S homeolog
GeneID:108719128	XB-GENE-17343194	bmp6.L	bone morphogenetic protein 6 L homeolog
GeneID:108713943	XB-GENE-17343195	tek.L	TEK receptor tyrosine kinase L homeolog
NA	XB-GENE-17343196	rnf224.L	ring finger protein 224 L homeolog
GeneID:108719414	XB-GENE-17343197	oc90.L	otoconin 90 L homeolog
GeneID:108695450	XB-GENE-17343198	oc90.S	otoconin 90 S homeolog
GeneID:108711522	XB-GENE-17343199	minar1.L	membrane integral NOTCH2 associated receptor 1 L homeolog
GeneID:108712789	XB-GENE-17343200	minar1.S	membrane integral NOTCH2 associated receptor 1 S homeolog
GeneID:399294	XB-GENE-17343201	cnbp.S	CCHC-type zinc finger nucleic acid binding protein S homeolog
GeneID:373818	XB-GENE-17343202	abl2.S	ABL proto-oncogene 2, non-receptor tyrosine kinase S homeolog
GeneID:108707068	XB-GENE-17343203	rita1.S	RBPJ interacting and tubulin associated 1 S homeolog
NA	XB-GENE-17343204	mtg2.S	mitochondrial ribosome-associated GTPase 2 S homeolog
GeneID:108718744	XB-GENE-17343205	nhlrc1.L	NHL repeat containing E3 ubiquitin protein ligase 1 L homeolog
NA	XB-GENE-17343206	nhlrc1.S	NHL repeat containing E3 ubiquitin protein ligase 1 S homeolog
GeneID:108709122	XB-GENE-17343207	mettl21ep.S	methyltransferase like 21E pseudogene S homeolog
NA	XB-GENE-17343208	h2ac12.S	H2A clustered histone 12 S homeolog
GeneID:108709322	XB-GENE-17343209	mtmr4.S	myotubularin related protein 4 S homeolog
